Vessel,Systolic,Diastolic,Mean,Pulse,MAP
Aorta,86.73838526274733,81.39645369856439,84.17970608680444,5.341931564182943,83.17709755329203
R-ICA,86.9632393753469,82.00633803873329,84.21121234611302,4.956901336613612,83.65863848427117
L-ICA,85.62335548521625,82.00451538380761,83.71454112331942,3.6188401014086367,83.2107954176105
R-MCA,86.57790912227539,81.82149982748533,83.91111707658217,4.7564092947900605,83.40696959241535
L-MCA,85.04144102248691,81.78665186540856,83.32713333133317,3.254789157078349,82.87158158443468
Basilar,85.02192436357089,81.76837281168899,83.31053011700506,3.2535515518818983,82.85288999564962
R-PCA,84.993286929389,81.74952370951532,83.28041414770254,3.243763219873685,82.83077811613988
L-PCA,84.99355695234095,81.74942620122711,83.28468475306686,3.2441307511138433,82.83080311826505
R-ACA,86.57757909422301,81.82123730517094,83.91096193569382,4.7563417890520725,83.4066845681883
L-ACA,85.01760399633969,81.78663686413346,83.2967255460989,3.2309671322062314,82.8636259082022
